Symbol,Exchange
EMAMILTD,NSE
EMAMIPAP,NSE
EMAMIREAL,BSE
EMBDL,NSE
EMCURE,NSE
EMERALD,BSE
EMERALL,BSE
EMERGENT,BSE
EMIAC,BSE
EMIL,NSE
EMKAY,NSE
EMMBI,NSE
EMMESSA,BSE
EMMFORCE,BSE
EMMVEE,NSE
EMPIND,BSE
EMPOWER,BSE
EMROCK,BSE
EMSLIMITED,NSE
EMUDHRA,NSE
ENBETRD,BSE
ENCODE,BSE
ENDURANCE,NSE
ENERGYDEV,NSE
ENGINERSIN,NSE
ENIL,NSE
ENKEIWHEL,BSE
ENRIN,NSE
ENTERO,NSE
ENTRINT,BSE
ENVAIREL,BSE
EPACK,NSE
EPACKPEB,NSE
EPBIO,BSE
EPIC,BSE
EPIGRAL,NSE
EPL,NSE
EPSOMPRO,BSE
EPUJA,BSE
EQUILATERA,BSE
EQUIPPP,BSE
EQUITASBNK,NSE
ERIS,NSE
ESABINDIA,NSE
ESAFSFB,NSE
ESARIND,BSE
ESCORP,BSE
ESCORTS,NSE
ESHAMEDIA,BSE
ESPIRE,BSE
ESSARSHPNG,NSE
ESSENTIA,BSE
ESSEX,BSE
ESTER,NSE
ETERNAL,NSE
ETHOSLTD,NSE
ETIL,BSE
EUPHORIAIT,BSE
EUREKAFORB,NSE
EUREKAI,BSE
EUROBOND,NSE
EUROLED,BSE
EUROPRATIK,NSE
EUROTEXIND,BSE
EVEREADY,NSE
EVERESTIND,NSE
EVERESTO,BSE
EVERFIN,BSE
EVEXIA,BSE
EVOQ,BSE
EXATO,BSE
EXCELINDUS,NSE
EXCELSOFT,NSE
EXHICON,BSE
EXICOM,NSE
EXIDEIND,NSE
EXPLEOSOL,NSE
EXPOEAPL,BSE
EXXARO,NSE
EY,BSE
FAALCON,BSE
FABCLEAN,BSE
FABTECH,NSE
FACORALL,BSE
FACT,NSE
FAIRCHEMOR,NSE
FAMILYCARE,BSE
FAZE3Q,NSE
FCL,NSE
FCONSUMER,BSE
FCSSOFT,BSE
FDC,NSE
FEDDERSHOL,NSE
FEDERALBNK,NSE
FEDFINA,NSE
FEL,BSE
FELDVR,BSE
FERMENTA,NSE
FERVENTSYN,BSE
FFPL,BSE
FGP,BSE
FIBERWEB,NSE
FIEMIND,NSE
FILATEX,NSE
FILATFASH,BSE
FILME,BSE
FILTRON,BSE
FINCABLES,NSE
FINELINE,BSE
FINEORG,NSE
FINKURVE,NSE
FINOPB,NSE
FINPIPE,NSE
FIRSTCRY,NSE
FIRSTFIN,BSE
FISCHER,NSE
FIVESTAR,NSE
FLAIR,NSE
FLEXFO,BSE
FLEXITUFF,BSE
FLFL,BSE
FLOMIC,BSE
FLORACORP,BSE
FLUIDOM,BSE
FLUOROCHEM,NSE
FMEC,BSE
FMGOETZE,NSE
FMNL,BSE
FOCUS,NSE
FOODSIN,NSE
FORBESCO,BSE
FORCEMOT,NSE
FORINTL,BSE
FORTIS,NSE
FORTISMLR,BSE
FOSECOC,BSE
FOSECOIND,NSE
FRACTAL,NSE
FRANKLININD,BSE
FRASER,BSE
FRATELLI,BSE
FREDUN,BSE
FRONTCAP,BSE
FRONTCORP,BSE
FRONTFN,BSE
FRONTSP,NSE
FSL,NSE
FTL,BSE
FUNDVISER,BSE
FUSION,NSE
FUTSOL,BSE
FYNX,BSE
GABRIEL,NSE
GAEL,NSE
GAGAN,BSE
GAIL,NSE
GAJANANSEC,BSE
GALACTICO,BSE
GALADA,BSE
GALADAFIN,BSE
GALAGEX,BSE
GALAPREC,NSE
GALAXYSURF,NSE
GALLANTT,NSE
GALLARD,BSE
GALXBRG,BSE
GAMCO,BSE
GANDHAR,NSE
GANDHITUBE,NSE
GANECOS,NSE
GANESHBE,NSE
GANESHCP,NSE
GANESHHOU,NSE
GANGAFORGE,NSE
GANGAPA,BSE
GANGESSECU,NSE
GANHOLD,BSE
GANONPRO,BSE
GANVERSE,BSE
GARBIFIN,BSE
GARFIBRES,NSE
GARGFUR,BSE
GARGI,BSE
GARMNTMNTR,BSE
GARNET,BSE
GARNETINT,BSE
GARUDA,NSE
GARWAMAR,BSE
GARWAOFFS,BSE
GARWSYN,BSE
GATECH,NSE
GATECHDVR,NSE
GATEWAY,NSE
GAUDIUMIVF,BSE
GAYAHWS,NSE
GAYAPROJ,BSE
GAYATRI,BSE
GAYATRIBI,BSE
GBFL,BSE
GBLINFRA,BSE
GBLOGISTIC,BSE
GCMSECU,BSE
GCSL,NSE
GDLLEAS,BSE
GEE,BSE
GEECEE,NSE
GEEKAYWIRE,NSE
GEETANJ,BSE
GEL,BSE
GEMAROMA,NSE
GEMSI,BSE
GENCON,NSE
GENESYS,NSE
GENNEX,BSE
GENPHARMA,BSE
GENSOL,BSE
GENUSPAPER,NSE
GENUSPOWER,NSE
GENUSPRIME,BSE
GEOJITFSL,NSE
GESHIP,NSE
GFLLIMITED,NSE
GFSTEELS,BSE
GGAUTO,BSE
GGDPROP,BSE
GGL,BSE
GGPL,BSE
GHCL,NSE
GHCLTEXTIL,NSE
GHVINFRA,BSE
GIANLIFE,BSE
GICHSGFIN,NSE
GICL,NSE
GICRE,NSE
GILADAFINS,BSE
GILLANDERS,NSE
GILLETTE,NSE
GINISILK,BSE
GINNIFILA,NSE
GIPCL,NSE
GITARENEW,BSE
GKB,BSE
GKCONS,BSE
GKENERGY,NSE
GKL,BSE
GKP,BSE
GKSL,NSE
GKWLIMITED,NSE
GLAND,NSE
GLAXO,NSE
GLCL,BSE
GLEN,BSE
GLENMARK,NSE
GLHRL,BSE
GLITTEKG,BSE
GLOBAL,NSE
GLOBALCA,BSE
GLOBALE,BSE
GLOBALVECT,NSE
GLOBE,NSE
GLOBECIVIL,BSE
GLOBTIER,BSE
GLOBUSCON,BSE
GLOBUSSPR,NSE
GLOSTERLTD,NSE
GLOTTIS,BSE
GLPL,BSE
GMBREW,NSE
GMDCLTD,NSE
GMMPFAUDLR,NSE
GMPL,BSE
GMRAIRPORT,NSE
GMRP&UI,NSE
GNA,NSE
GNFC,NSE
GNRL,NSE
GOACARBON,NSE
GOBLIN,BSE
GOCLCORP,NSE
GOCOLORS,NSE
GODAVARI,BSE
GODAVARIB,NSE
GODFRYPHLP,NSE
GODIGIT,NSE
GODREJAGRO,NSE
GODREJCP,NSE
GODREJIND,NSE
GODREJPROP,NSE
GOELCONS,BSE
GOKAKTEX,BSE
GOKEX,NSE
GOKUL,NSE
GOKULAGRO,NSE
GOLDENTOBC,BSE
GOLDIAM,NSE
GOLDLEG,BSE
GOLDTECH,NSE
GOLKUNDIA,BSE
GOODLUCK,NSE
GOODRICKE,BSE
GOODYEAR,NSE
GOPAL,NSE
GORANIN,BSE
GOURMET,BSE
GOWRALE,BSE
GOYALALUM,NSE
GOYALASS,BSE
GPAPL,BSE
GPIL,NSE
GPPL,NSE
GPSL,BSE
GPTHEALTH,NSE
GPTINFRA,NSE
GRADIENTE,NSE
GRAMEVA,BSE
GRANDMA,BSE
GRANDOAK,NSE
GRANULES,NSE
GRAPHITE,NSE
GRASIM,NSE
GRATEXI,BSE
GRAUWEIL,NSE
GRAVISSHO,NSE
GRAVITA,NSE
GRAVITY,BSE
GREAVESCOT,NSE
GREENCREST,BSE
GREENLAM,NSE
GREENPANEL,NSE
GREENPLY,NSE
GREENPOWER,NSE
GRERENEW,BSE
GRINDWELL,NSE
GRINFRA,NSE
GRMOVER,NSE
GROARC,BSE
GROBTEA,NSE
GROVY,BSE
GROWINGTON,BSE
GROWW,NSE
GRPLTD,NSE
GRSE,NSE
GRWRHITECH,NSE
GSAUTO,BSE
GSBFIN,BSE
GSFC,NSE
GSLSU,NSE
GSLTD,BSE
GSPCROP,NSE
GSS,BSE
GSTL,BSE
GTEIT,BSE
GTIL,BSE
GTL,NSE
GTLINFRA,NSE
GTNINDS,BSE
GTNTEX,BSE
GTPL,NSE
GTTDATA,BSE
GTV,BSE
GUFICBIO,NSE
GUJALKALI,NSE
GUJAPOLLO,NSE
GUJARATPOLY,BSE
GUJCOTEX,BSE
GUJCRAFT,BSE
GUJCRED,BSE
GUJGASLTD,NSE
GUJHOTE,BSE
GUJHYSPIN,BSE
GUJINJEC,BSE
GUJINTRX,BSE
GUJINV,BSE
GUJJUBHAI,BSE
GUJPETR,BSE
GUJRAFFIA,NSE
GUJSTATFIN,BSE
GUJTERC,BSE
GUJTHEM,NSE
GUJTLRM,BSE
GUJWIND,BSE
GULFOILLUB,NSE
GULFPETRO,BSE
GULPOLY,NSE
GVBL,BSE
GVFILM,BSE
GVKPIL,BSE
GVPIL,NSE
GVPTECH,NSE
GVT&D,NSE
GYANDEV,BSE
GYFTR,BSE
HAL,NSE
HALDER,NSE
HALDYNGL,BSE
HALEOSLABS,NSE
HAMPTON,BSE
HANNAH,BSE
HANSUGAR,BSE
HAPPSTMNDS,NSE
HAPPYFORGE,NSE
HARCR,BSE
HARDCAS,BSE
HARDWYN,NSE
HARIAAPL,BSE
HARIAEXPO,BSE
HARIKANTA,BSE
HARIOMPIPE,NSE
HARISH,BSE
HARLETH,BSE
HARRMALAYA,NSE
HARSHA,NSE
HARSHDEEP,BSE
HARSHILAGR,BSE
HARYNACAP,BSE
HATHWAY,NSE
HATHWAYB,BSE
HATSUN,NSE
HAVELLS,NSE
HAVISHA,NSE
HAWAENG,BSE
HAWKINCOOK,NSE
HAZOOR,BSE
HBEL,BSE
HBESD,NSE
HBGHOTELS,BSE
HBLEAS,BSE
HBLENGINE,NSE
HBPOR,BSE
HBSL,BSE
HCC,NSE
HCG,NSE
HCKKVENTURE,BSE
HCL-INSYS,NSE
HCLTECH,NSE
HDBFS,NSE
HDFCAMC,NSE
HDFCBANK,NSE
HDFCLIFE,NSE
HDIL,BSE
HEADSUP,NSE
HEALTHX,NSE
HEALTHYLIFE,BSE
HECPROJECT,NSE
HEERAISP,BSE
HEG,NSE
HEIDELBERG,NSE
HELPAGE,BSE
HEMANG,BSE
HEMIPROP,NSE
HEMORGANIC,BSE
HERANBA,NSE
HERCULES,BSE
HERITGFOOD,NSE
HEROMOTOCO,NSE
HESTERBIO,NSE
HEXAGON,NSE
HEXATRADEX,NSE
HEXT,NSE
HFCL,NSE
HFIL,BSE
HGINFRA,NSE
HGM,NSE
HGS,NSE
HIGHENE,BSE
HIGHNESS,BSE
HIIL,BSE
HIKAL,NSE
HIKLASS,BSE
HILIKS,BSE
HILINFRA,BSE
HILLTONE,BSE
HILTON,BSE
HIMATSEIDE,NSE
HIMTEK,BSE
HINDADH,BSE
HINDALCO,NSE
HINDALUMI,BSE
HINDAPL,BSE
HINDBIO,BSE
HINDCOMPOS,NSE
HINDCOPPER,NSE
HINDHARD,BSE
HINDMILL,BSE
HINDMOTORS,BSE
HINDOILEXP,NSE
HINDPETRO,NSE
HINDTIN,BSE
HINDUNILVR,NSE
HINDUST,BSE
HINDWAREAP,NSE
HINDZINC,NSE
HIPOLIN,BSE
HIRECT,NSE
HISARMETAL,NSE
HITECH,NSE
HITECHCORP,BSE
HITECHGEAR,BSE
HITKITGLO,BSE
HITTCO,BSE
HLEGLAS,NSE
HLVLTD,NSE
HMAAGRO,NSE
HMEML,BSE
HMT,BSE
HMVL,NSE
HNDFDS,NSE
HOCL,BSE
HOM,BSE
HOMEFIRST,NSE
HONASA,NSE
HONAUT,NSE
HONDAPOWER,NSE
HORIZON,BSE
HOTLSILV,BSE
HOWARHO,BSE
HPAL,NSE
HPBL,BSE
HPCOTTON,BSE
HPIL,NSE
HPL,NSE
HRMNYCP,BSE
HRS,BSE
HRYNSHP,BSE
HSCL,NSE
HSIL,BSE
HTMEDIA,NSE
HUBTOWN,NSE
HUDCO,NSE
HUHTAMAKI,NSE
HYBRIDFIN,BSE
HYPERSOFT,BSE
HYUNDAI,NSE
IBINFO,BSE
IBULLSLTD,BSE
ICDSLTD,NSE
ICEMAKE,NSE
ICICIAMC,NSE
ICICIBANK,NSE
ICICIGI,NSE
ICICIPRULI,NSE
ICIL,NSE
ICL,BSE
ICODEX,BSE
ICON,BSE
ICONIKSPEV,BSE
ICRA,NSE
ICSL,BSE
IDBI,NSE
IDEA,NSE
IDEAFORGE,BSE
IDENTIXWEB,BSE
IDFCFIRSTB,NSE
IDM,BSE
IECEDU,BSE
IEX,NSE
IFBAGRO,BSE
IFBIND,NSE
IFCI,NSE
IFGLEXPOR,NSE
IFINSEC,BSE
IFINSER,BSE
IFL,BSE
IGARASHI,NSE
IGCIL,BSE
IGCL,NSE
IGIL,NSE
IGL,NSE
IGPL,NSE
IIFL,NSE
IIFLCAPS,NSE
IIRM,BSE
IISL,BSE
IITL,NSE
IITLPROJ,BSE
IKIO,NSE
IKOMA,BSE
IKS,NSE
IL&FSENGG,BSE
IL&FSTRANS,BSE
IMAGICAA,NSE
IMEC,BSE
IMFA,NSE
IMPAL,NSE
INA,NSE
INANI,BSE
INCAP,BSE
INCON,BSE
INCREDIBLE,NSE
INDAG,BSE
INDBANK,NSE
INDBNK,BSE
INDCEMCAP,BSE
INDCTST,BSE
INDGELA,BSE
INDGN,NSE
INDHOTEL,NSE
INDIACEM,NSE
INDIAGLYCO,NSE
INDIAHOME,BSE
INDIAHOMES,BSE
INDIAMART,NSE
INDIANACRY,BSE
INDIANB,NSE
INDIANCARD,NSE
INDIANHUME,NSE
INDIANVSH,BSE
INDIASHLTR,NSE
INDICAP,BSE
INDIGO,NSE
INDIGOPNTS,NSE
INDINFO,BSE
INDIQUBE,NSE
INDLEASE,BSE
INDNIPPON,NSE
INDOAMIN,BSE
INDOBELL,BSE
INDOBORAX,NSE
INDOCITY,BSE
INDOCO,NSE
INDOEURO,BSE
INDOFARM,NSE
INDOKEM,BSE
INDONG,BSE
INDORAMA,NSE
INDOSMC,BSE
INDOSTAR,NSE
INDOTECH,BSE
INDOTHAI,NSE
INDOUS,NSE
INDOWIND,BSE
INDPRUD,NSE
INDRAMEDCO,NSE
INDRANIB,BSE
INDRENEW,BSE
INDSILHYD,BSE
INDSUCR,BSE
INDSWFTLAB,NSE
INDTERRAIN,NSE
INDTONER,BSE
INDUSFINL,BSE
INDUSINDBK,NSE
INDUSTOWER,NSE
INDXTRA,BSE
INFINITY,BSE
INFLAME,BSE
INFOBEAN,NSE
INFOMEDIA,NSE
INFORTEC,BSE
INFRONICS,BSE
INFY,NSE
INGERRAND,NSE
INLANPR,BSE
INLCM,BSE
INNOCORP,BSE
INNOVACAP,NSE
INNOVANA,NSE
INNOVATIVE,BSE
INNOVATORS,BSE
INNOVISION,NSE
INNOVTEC,BSE
INOVSYNTH,BSE
INOXGREEN,NSE
INOXINDIA,NSE
INOXWIND,NSE
INSECTICID,NSE
INSPIRISYS,BSE
INTCAPL,BSE
INTECCAP,BSE
INTEGFD,BSE
INTEGHIT,BSE
INTEGRAEN,BSE
INTEGSW,BSE
INTELLECT,NSE
INTENTECH,NSE
INTERARCH,NSE
INTERDIGI,BSE
INTLCOMBQ,BSE
INTLCONV,NSE
INTRGLB,BSE
INTSTOIL,BSE
INVENTURE,NSE
INVIGO,BSE
INVPRECQ,NSE
IOB,NSE
IOC,NSE
IOLCP,NSE
IONEXCHANG,NSE
IPCALAB,NSE
IPL,NSE
IPOWER,BSE
IPRINGLTD,BSE
IRB,NSE
IRCON,NSE
IRCTC,NSE
IREDA,NSE
IRFC,NSE
IRIS,NSE
IRISDOREME,NSE
IRMENERGY,NSE
IRONWOOD,BSE
ISERA,BSE
ISFL,BSE
ISFT,NSE
ISGEC,NSE
ISHANCH,NSE
ISHITADR,BSE
ISLCONSUL,BSE
ISTLTD,BSE
ISTRNETWK,BSE
ITC,NSE
ITCHOTELS,NSE
ITCONS,BSE
ITDC,NSE
ITHL,BSE
ITI,NSE
ITL,BSE
IVALUE,NSE
IVC,NSE
IVP,NSE
IVZINGOLD,BSE
IWP,NSE
IXIGO,NSE
IYKOTHITE,BSE
IZMO,NSE
J&KBANK,NSE
JACKSON,BSE
JAGAJITIND,BSE
JAGANLAM,BSE
JAGJANANI,BSE
JAGRAN,NSE
JAGSNPHARM,NSE
JAGSONSER,BSE
JAIBALAJI,BSE
JAICORPLTD,NSE
JAIHIND,BSE
JAIMATAG,BSE
JAINCO,BSE
JAINREC,NSE
JAIPAN,BSE
JAIPURKURT,NSE
JAMESWARREN,BSE
JAMNAAUTO,NSE
JAMSHRI,BSE
JARO,NSE
JASCH,BSE
JASH,NSE
JATTAINDUS,BSE
JAUSPOL,BSE
JAYAGROGN,NSE
JAYANT,BSE
JAYATMA,BSE
JAYBARMARU,NSE
JAYCH,BSE
JAYIND,BSE
JAYKAILASH,BSE
JAYKAY,NSE
JAYNECOIND,NSE
JAYSREETEA,NSE
JAYSYNTH,BSE
JAYUSH,BSE
JBCHEPHARM,NSE
JBMA,NSE
JDCABLES,BSE
JENBURPH,BSE
JETFREIGHT,NSE
JETKINGQ,BSE
JETMALL,BSE
JETSOLAR,BSE
JFL,BSE
JGCHEM,NSE
JGTL,BSE
JHACC,BSE
JHS,NSE
JIGAR,BSE
JINDALPHOT,NSE
JINDALPOLY,NSE
JINDALSAW,NSE
JINDALSTEL,NSE
JINDCAP,BSE
JINDHOT,BSE
JINDRILL,NSE
JINDWORLD,NSE
JIOFIN,NSE
JISLDVREQS,NSE
JISLJALEQS,NSE
JITFINFRA,NSE
JJFINCOR,BSE
JKAGRI,BSE
JKCEMENT,NSE
JKIL,NSE
JKIPL,BSE
JKLAKSHMI,NSE
JKPAPER,NSE
JKTYRE,NSE
JLHL,NSE
JLL,BSE
JMA,NSE
JMDVL,BSE
JMFINANCIL,NSE
JMGCORP,BSE
JMJFIN,BSE
JNKINDIA,NSE
JOHNPHARMA,BSE
JOINDRE,BSE
JOJO,BSE
JOLYPLS,BSE
JONJUA,BSE
JOSTS,BSE
JPOLYINVST,NSE
JPPOWER,NSE
JSFB,NSE
JSL,NSE
JSLINDL,BSE
JSLL,NSE
JSTL,BSE
JSWCEMENT,NSE
JSWDULUX,NSE
JSWENERGY,NSE
JSWHL,NSE
JSWINFRA,NSE
JSWSTEEL,NSE
JTEKTINDIA,NSE
JTLDEFENCE,BSE
JTLIND,NSE
JUBLCPL,NSE
JUBLFOOD,NSE
JUBLINGREA,NSE
JUBLPHARMA,NSE
JULIEN,BSE
JUMBO,BSE
JUNE,BSE
JUNGLECAMP,BSE
JUNIPER,NSE
JUPITERIN,BSE
JUSTDIAL,NSE
JUSTO,BSE
JWL,NSE
JYOTHYLAB,NSE
JYOTI,BSE
JYOTICNC,NSE
JYOTIRES,BSE
JYOTISTRUC,NSE
KABRADG,BSE
KABRAEXTRU,NSE
KABSON,BSE
KACHCHH,BSE
KACL,BSE
KAIRA,BSE
KAIZENAGRO,BSE
KAJARIACER,NSE
KAJARIR,BSE
KAKA,BSE
KAKTEX,BSE
KALAMANDIR,NSE
KALIND,BSE
KALLAM,BSE
KALPACOMME,BSE
KALPATARU,NSE
KALYANCAP,BSE
KALYANI,BSE
KALYANIFRG,NSE
KALYANKJIL,NSE
KAMADGIRI,BSE
KAMAHOLD,NSE
KAMANWALA,BSE
KAMATHOTEL,NSE
KAMATS,BSE
KAMDHENU,BSE
KAMOPAINTS,NSE
KANANIIND,NSE
KANCHI,BSE
KANCOTEA,BSE
KANELIND,BSE
KANORICHEM,BSE
KANPRPLA,NSE
KANSAINER,NSE
KANSHST,BSE
KANUNGO,BSE
KAPILRAJ,BSE
KAPSTON,NSE
KARBON,BSE
KARMAENG,NSE
KARNAVATI,BSE
KARNAWATI,BSE
KARTKIN,BSE
KARURVYSYA,NSE
KASTURI,BSE
KATIPATANG,BSE
KAUSHALYA,NSE
KAVDEFENCE,NSE
KAYA,NSE
KAYCEEI,BSE
KAYNES,NSE
KAYPOWR,BSE
KBSINDIA,BSE
KCDGROUP,BSE
KCLINFRA,BSE
KCP,NSE
KCPSUGIND,NSE
KDDL,NSE
KEC,NSE
KECL,BSE
KEEPLEARN,NSE
KEERTHI,BSE
KEI,NSE
KEIL,BSE
KEL,BSE
KELENRG,BSE
KELLTONTEC,NSE
KEMISTAR,BSE
KEMP,BSE
KENFIN,BSE
KENNAMET,NSE
KENVI,BSE
KERALAYUR,BSE
KERNEX,NSE
KESAR,BSE
KESARENT,BSE
KESARPE,BSE
KESORAMIND,BSE
KETOMOTORS,BSE
KEYCORP,BSE
KEYFINSERV,NSE
KFBL,BSE
KFINTECH,NSE
KGDENIM,BSE
KHADIM,BSE
KHAICHEM,BSE
KHAITANLTD,BSE
KHANDSE,NSE
KHAZANCHI,BSE
KHOOBSURAT,BSE
KHYATI,BSE
KIAASA,BSE
KICL,NSE
KIDUJA,BSE
KIFS,BSE
KILITCH,NSE
KIMIABL,BSE
KIMS,NSE
KINETICENG,BSE
KINETRU,BSE
KINGFA,NSE
KINGSINFR,BSE
KIOCL,NSE
KIRANSY-B,BSE
KIRANVYPAR,NSE
KIRIINDUS,NSE
KIRLFER,NSE
KIRLOSBROS,NSE
KIRLOSENG,NSE
KIRLOSIND,NSE
KIRLPNU,NSE
KISAAN,BSE
KISAN,BSE
KISSHT,NSE
KITEX,NSE
KIZI,BSE
KJMCCORP,BSE
KJMCFIN,BSE
KKALPANAIND,BSE
KKCL,NSE
KKPLASTICK,BSE
KKSHL,BSE
KKSILK,BSE
KLBRENG-B,NSE
KLIFESTYL,BSE
KLRFM,BSE
KMCSHIL,BSE
KMEW,NSE
KMFBLDR,BSE
KMSUGAR,NSE
KNAGRI,NSE
KNRCON,NSE
KOBO,BSE
KOHINOOR,NSE
KOIYAIN,BSE
KOKUYOCMLN,NSE
KOLTEPATIL,NSE
KONNDOR,BSE
KOPRAN,BSE
KOTAKBANK,NSE
KOTARISUG,NSE
KOTHARIPET,NSE
KOTHARIPRO,NSE
KOTIC,NSE
KOTYARK,BSE
KOURA,BSE
KOVAI,NSE
KPEL,NSE
KPGEL,BSE
KPIGREEN,NSE
KPIL,NSE
KPITTECH,NSE
KPL,NSE
KPRMILL,NSE
KPT,BSE
KRANTI,BSE
KRBL,NSE
KREBSBIO,NSE
KREONFIN,BSE
KRETTOSYS,BSE
KRIDHANINF,BSE
KRIFILIND,BSE
KRISHANA,NSE
KRISHIVAL,NSE
KRISHNA,BSE
KRISHNACAP,BSE
KRISHNADEF,NSE
KRITI,BSE
KRITIKA,NSE
KRITINUT,BSE
KRN,BSE
KRONOX,NSE
KROSS,NSE
KRRAIL,BSE
KRSNAA,NSE
KRUPALU,BSE
KRYPTONQ,BSE
KRYSTAL,NSE
KSB,NSE
KSCL,NSE
KSE,BSE
KSHINTL,NSE
KSL,NSE
KSOLVES,NSE
KSR,NSE
KSSMART,BSE
KTIL,BSE
KTKBANK,NSE
KUANTUM,NSE
KUBERJI,BSE
KUNSTOFF,BSE
KUSHIND,BSE
KUWERIN,BSE
KVFORGE,BSE
KVTOYS,BSE
KWIL,NSE
LACTOSE,BSE
LADDERUP,BSE
LADDU,BSE
LAFFANSQ,BSE
LAGNAM,NSE
LAHL,BSE
LAHOTIOV,NSE
LAKESHORE,BSE
LAKHOTIA,BSE
LAKPRE,BSE
LAKSELEC,BSE
LAKSHMIEW,BSE
LAKSHMIMIL,BSE
LAL,NSE
LALPATHLAB,NSE
LAMBODHARA,NSE
LANCER,BSE
LANCORHOL,NSE
LANDMARC,BSE
LANDMARK,NSE
LANDSMILL,NSE
LAOPALA,NSE
LASA,NSE
LASTMILE,BSE
LATENTVIEW,NSE
LATIMMETAL,BSE
LAURUSLABS,NSE
LAXMICOT,NSE
LAXMIDENTL,NSE
LAXMIINDIA,BSE
LAXMIPATI,BSE
LCCINFOTEC,NSE
LEENEE,BSE
LEHAR,BSE
LELAVOIR,BSE
LEMERITE,NSE
LEMONTREE,NSE
LENSKART,NSE
LERTHAI,BSE
LESHAIND,BSE
LESL,BSE
LEXGLOBAL,BSE
LEXORAA,BSE
LEXUS,NSE
LFIC,NSE
LGBBROSLTD,NSE
LGBFORGE,BSE
LGEINDIA,NSE
LGHL,NSE
LGLL,BSE
LGT,BSE
LIBAS,NSE
LIBERTSHOE,NSE
LIBORDFIN,BSE
LICHSGFIN,NSE
LICI,NSE
LIKHAMI,BSE
LIKHITHA,BSE
LIMECHM,BSE
LINC,NSE
LINCOLN,NSE
LINDEINDIA,NSE
LINKPH,BSE
LIOTECH,BSE
